FID	osm_id	Xstart	Ystart	Xend	Yend	length	startid	endid
1515	103940634	114.3617249	30.5417953	114.3625695	30.5418793	81.59162806	1109	1150
1516	103940634	114.3625695	30.5418793	114.3627264	30.5414431	55.39118694	1150	1152
1517	103938246	114.3594439	30.5418915	114.3588269	30.5417684	60.75934705	987	956
1518	358205771	114.3546315	30.5419522	114.3541505	30.5418722	47.00071469	549	515
1519	127188019	114.3486084	30.5419728	114.3485669	30.541916	7.479512212	84	83
1520	103755114	114.3486084	30.5419728	114.3486584	30.54167976	32.84140556	84	86
1521	358205774	114.3572582	30.5414721	114.3572104	30.5419657	54.91399033	823	817
1522	358205770	114.354818	30.541981	114.3546315	30.5419522	18.17895012	569	549
1523	103948527	114.354818	30.541981	114.3559155	30.5411397	144.8349686	569	672
1524	358205775	114.3561474	30.5419843	114.3572104	30.5419657	102.0253286	694	817
1525	169549512	114.3604583	30.5419786	114.3599671	30.5415186	77.05785336	1047	1022
1526	103948542	114.353354	30.54200079	114.3524459	30.5418416	88.9095327	432	358
1527	402823353	114.3534493	30.5417324	114.353354	30.54200079	31.12767445	444	432
1528	127188019	114.3486605	30.54203327	114.3486084	30.5419728	8.364478661	87	84
1529	172746558	114.3486855	30.54190327	114.3486605	30.54203327	14.61236811	93	87
1530	103938246	114.3604505	30.5420188	114.3594439	30.5418915	97.6625767	1046	987
1531	169549512	114.3604505	30.5420188	114.3604583	30.5419786	4.519117877	1046	1047
1532	103642351	114.3512054	30.5420495	114.3488968	30.5416776	225.7842123	271	107
1533	103947036	114.3509263	30.5410052	114.3512054	30.5420495	121.7013205	222	271
1534	103938246	114.3606187	30.5420384	114.3604505	30.5420188	16.28592119	1059	1046
1535	127188019	114.3486955	30.5420739	114.3486605	30.54203327	5.619809375	94	87
1536	99145247	114.3486855	30.54190327	114.3486955	30.5420739	18.94037998	93	94
1537	103642351	114.351315	30.5420786	114.3512054	30.5420495	11.00078289	285	271
1538	103948542	114.3541505	30.5418722	114.353354	30.54200079	100.4866667	515	432
1539	103938246	114.3615106	30.5421453	114.3606187	30.5420384	86.40645712	1100	1059
1540	402823359	114.3604583	30.5419786	114.3615106	30.5421453	103.7134041	1047	1100
1541	103938246	114.3616797	30.5421691	114.3615106	30.5421453	16.43977611	1107	1100
1542	309850914	114.3617249	30.5417953	114.3616797	30.5421691	41.66705577	1109	1107
1543	358205776	114.3605992	30.5421726	114.3606187	30.5420384	14.99505975	1058	1059
1544	173424319	114.3482045	30.5421988	114.3484908	30.5422105	27.50719045	53	80
1545	99145247	114.3484908	30.5422105	114.3485669	30.541916	33.46847461	80	83
1546	358205775	114.3572104	30.5419657	114.3578143	30.5422125	72.52739551	817	902
1547	358205775	114.3613391	30.5422192	114.3615106	30.5421453	18.45465937	1098	1100
1548	402823353	114.353354	30.54200079	114.3532822	30.5422819	31.973519	432	424
1549	358205775	114.3605992	30.5421726	114.3613391	30.5422192	80.71800121	1058	1098
